Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Mitchell Robinson,vs PHX,NBA,Free Throws Made,0.5,1.20,139.71%
Lameck Banda,@ VER,SOCCER,Shots on Target,0.5,1.17,134.00%
Tyler Scott,@ MIN,NFL,Receiving Yards,7.5,15.41,105.50%
Montez Sweat,@ MIN,NFL,Sacks,0.25,0.51,103.39%
Cameron Dicker,vs BAL,NFL,Fantasy Score,7.5,0.00,-100.00%
Cameron Dicker,vs BAL,NFL1H,Fantasy Score,4,0.00,-100.00%
Federico Baschirotto,@ VER,SOCCER,Interceptions,0.5,0.98,96.00%
Radko Gudas,@ EDM,NHL,Hits,2.5,4.86,94.38%
Khalil Mack,vs BAL,NFL,Sacks,0.25,0.48,91.54%
Roschon Johnson,@ MIN,NFL,Receiving Yards,6.5,12.09,86.00%
Clint Capela,@ BOS,NBA,Turnovers,0.5,0.92,84.16%
Spencer Dinwiddie,vs CHI,NBA,Steals,0.5,0.92,83.31%
Cooper Kupp,@ ARI,NFL2H,Receiving Yards,21.5,39.15,82.09%
Santi Aldama,vs MIN,NBA,Steals,0.5,0.90,80.33%
Isak Hien,vs LEC,SOCCER,Interceptions,0.5,0.88,76.00%
Roman Josi,vs WPG,NHL,Points,0.5,0.88,75.08%
Mitchell Robinson,vs PHX,NBA,Turnovers,0.5,0.87,74.82%
Aaron Gordon,vs SAS,NBA,Blocked Shots,0.5,0.87,73.42%
Jusuf Nurkic,@ NYK,NBA,3-PT Made,0.5,0.86,72.95%
Connor McDavid,vs ANH,NHL,Hits,0.5,0.86,71.75%
Bismack Biyombo,vs MIN,NBA,Points,6,10.28,71.41%
Harrison Butker,@ LV,NFL2H,FG Made,0.5,0.86,71.00%
Immanuel Quickley,vs PHX,NBA,Steals,0.5,0.84,68.86%
D.J. Wonnum,vs CHI,NFL,Sacks,0.25,0.42,66.88%
Joshua Ola-Joseph,@ San Francisco,CBB,Points,7.5,12.46,66.18%
Samaje Perine,vs CLE,NFL2H,Receiving Yards,5.5,9.14,66.09%
Scottie Barnes,@ CLE,NBA,Blocked Shots,0.5,0.83,66.03%
Cyril Ngonge,vs LEC,SOCCER,Tackles,0.5,0.82,64.00%
Tutu Atwell,@ ARI,NFL2H,Receiving Yards,9.5,15.50,63.16%
Keshon Gilbert,vs Texas A&M,CBB,3-PT Made,0.5,0.18,-63.09%
Jake Elliott,vs BUF,NFL2H,FG Made,0.5,0.80,60.34%
Joshua Dobbs,vs CHI,NFL,INT,0.5,0.80,60.07%
Harrison Reed,vs WOL,SOCCER,Shots,0.5,0.80,60.00%
Austin Ekeler,vs BAL,NFL,Touchdowns,0.5,0.80,59.64%
Mason McTavish,@ EDM,NHL,Points,0.5,0.80,59.59%
Josh Oliver,vs CHI,NFL,Receiving Yards,9.5,15.16,59.58%
Quentin Johnston,vs BAL,NFL,Receiving Yards,24.5,39.00,59.18%
Daniel Carlson,vs KC,NFL2H,FG Made,0.5,0.79,57.85%
Tyler Bass,@ PHI,NFL2H,FG Made,0.5,0.79,57.00%
