Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Rudy Gobert,vs NYK,NBA,Blocked Shots,1.5,1.22,-18.64%
Terance Mann,@ SAS,NBA,Rebs+Asts,7,5.70,-18.57%
Jabari Smith Jr.,@ GSW,NBA,Rebounds,7.5,8.87,18.33%
Paul George,@ SAS,NBA,Rebs+Asts,9.5,11.23,18.21%
Klay Thompson,vs HOU,NBA,Pts+Asts,17.5,20.60,17.74%
Dillon Brooks,@ GSW,NBA,Rebounds,4,4.70,17.54%
Russell Westbrook,@ SAS,NBA,Assists,4,4.70,17.41%
Stephen Curry,vs HOU,NBA,Free Throws Made,5.5,4.54,-17.41%
Alperen Sengun,@ GSW,NBA,Points,19.5,16.12,-17.34%
Coby White,vs MIA,NBA,Assists,4,3.31,-17.22%
Karl-Anthony Towns,vs NYK,NBA,Blocked Shots,0.5,0.59,17.08%
Malik Monk,@ NOP,NBA,Pts+Rebs+Asts,21.5,25.17,17.05%
Anthony Edwards,vs NYK,NBA,Assists,4.5,3.74,-16.85%
Kyle Anderson,vs NYK,NBA,Assists,4,3.34,-16.62%
Julius Randle,@ MIN,NBA,Rebounds,8.5,9.91,16.58%
Jimmy Butler,@ CHI,NBA,Free Throws Made,7.5,6.26,-16.47%
Paul George,@ SAS,NBA,Rebounds,6,6.98,16.39%
Mitchell Robinson,@ MIN,NBA,Pts+Rebs,15.5,18.02,16.24%
Jimmy Butler,@ CHI,NBA,Assists,4.5,5.23,16.23%
Kyle Lowry,@ CHI,NBA,Rebounds,3.5,4.05,15.67%
Klay Thompson,vs HOU,NBA,Pts+Rebs,19.5,22.54,15.61%
Zion Williamson,vs SAC,NBA,Rebounds,6.5,7.49,15.17%
Klay Thompson,vs HOU,NBA,Pts+Rebs+Asts,21.5,24.75,15.10%
Paul George,@ SAS,NBA,Turnovers,2.5,2.87,14.97%
Anthony Edwards,vs NYK,NBA,Blocked Shots,0.5,0.57,14.92%
Mike Conley,vs NYK,NBA,Pts+Asts,15.5,17.80,14.84%
Malik Monk,@ NOP,NBA,Rebs+Asts,7.5,8.61,14.76%
Ivica Zubac,@ SAS,NBA,Blks+Stls,1.5,1.72,14.58%
